,Term,DistrictID,SchoolYear,county_fips,Enrollment,TeachingMethod,StudentMaskPolicy,avg_enr,useit,useit_ind
56516,Fall,890678,2020-2021,49009,212.0,On Premises,Required for all students,693.5,1,1.0
56519,Fall,96920955,2020-2021,49037,168.0,Online Only,Required for all students,1963.4655172413793,1,0.8103448275862069
56567,Fall,890616,2020-2021,49017,958.0,On Premises,Required for all students,6798.05,1,0.85
56569,Fall,890647,2020-2021,20173,5125.0,Hybrid,Pending,5427.293333333333,1,0.8133333333333334
56575,Fall,101540323,2020-2021,20173,600.0,Hybrid,Required for all students,5427.293333333333,1,0.8133333333333334
56590,Fall,890648,2020-2021,31027,396.0,Hybrid,Required for all students,1189.8266666666666,1,0.8133333333333334
56600,Fall,890640,2020-2021,37167,5175.0,On Premises,Required for all students,1656.4424778761063,1,0.8053097345132744
56601,Fall,890640,2020-2021,42067,5175.0,On Premises,Required for all students,1655.2,1,0.8
56602,Fall,890640,2020-2021,16063,5175.0,On Premises,Required for all students,1222.4565217391305,1,0.9130434782608695
56603,Fall,890640,2020-2021,6103,5175.0,On Premises,Required for all students,1828.648148148148,1,0.8440366972477065
56607,Fall,890673,2020-2021,49013,4538.0,Hybrid,Required for all students,1542.2857142857142,1,0.8571428571428571
56611,Fall,890673,2020-2021,53039,4538.0,Hybrid,Required for all students,1324.8080808080808,1,0.8484848484848485
56664,Fall,900623,2020-2021,51011,2363.0,Hybrid,Required for all students,2363.0,1,1.0
56706,Fall,900624,2020-2021,21223,10408.0,Pending,Pending,5595.986842105263,0,0.8026315789473685
56708,Fall,900746,2020-2021,5015,1971.0,Hybrid,Required for all students,1469.2272727272727,1,0.8409090909090909
56713,Fall,900731,2020-2021,29163,4460.0,Hybrid,Required for middle/high school students only,3901.1794871794873,1,0.810126582278481
56714,Fall,900731,2020-2021,12049,4460.0,Hybrid,Required for middle/high school students only,3414.1071428571427,1,0.8214285714285714
56716,Fall,900731,2020-2021,51033,4460.0,Hybrid,Required for middle/high school students only,4966.125,1,0.8333333333333334
56746,Fall,900686,2020-2021,51550,42470.0,Online Only,Pending,14826.916666666666,1,0.9166666666666666
56765,Fall,900732,2020-2021,51193,460.0,Online Only,Pending,1100.0,1,0.875
56768,Fall,900670,2020-2021,51175,2894.0,Online Only,Required for all students,1120.0,1,0.9166666666666666
56771,Fall,900670,2020-2021,28107,2894.0,Online Only,Required for all students,2179.1071428571427,1,0.8214285714285714
56772,Fall,900670,2020-2021,20157,2894.0,Online Only,Required for all students,1773.4125,1,0.825
56783,Fall,900616,2020-2021,48217,1060.0,Hybrid,Required for all students,3384.1360544217687,1,0.8013245033112583
56784,Fall,900716,2020-2021,51047,8471.0,Hybrid,Required for all students,8396.0,1,1.0
56809,Fall,900672,2020-2021,51595,2595.0,Online Only,Required for all students,3639.5,1,1.0
